"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"13825","Site",7,51,0.137254901960784,2.56811277182736,1
"6273","Site",8,70,0.114285714285714,2.28584100901346,1
"25382","Site",4,32,0.125,1.77348892400056,0
"17799","Site",4,38,0.105263157894737,1.4749738794311,0
"26885","Site",5,48,0.104166666666667,1.62915286647981,0
"21655","Site",4,42,0.0952380952380952,1.30628131626022,0
"5977","Site",3,33,0.0909090909090909,1.06435399240225,0
"26665","Site",6,66,0.0909090909090909,1.50522385122122,0
"30851","Site",4,46,0.0869565217391304,1.1557962179428,0
"17555","Site",4,49,0.0816326530612245,1.05271171192077,0
"18743","Site",10,125,0.08,1.61272203470294,0
"17010","Site",9,117,0.0769230769230769,1.43507305051432,0
"29813","Site",4,53,0.0754716981132075,0.92612651999276,0
"30729","Site",11,146,0.0753424657534247,1.53125009995968,0
"13057","Site",3,40,0.075,0.793345844395025,0
"17208","Site",3,43,0.0697674418604651,0.693494922490152,0
"6230","Site",7,101,0.0693069306930693,1.04543624428914,0
"30984","Site",3,44,0.0681818181818182,0.661950146920893,0
"30233","Site",6,91,0.0659340659340659,0.871308328328694,0
"14408","Site",15,232,0.0646551724137931,1.31794664533482,0
"14729","Site",15,240,0.0625,1.21489077395575,0
"39025","Site",11,185,0.0594594594594595,0.911081170844304,0
"34643","Site",5,85,0.0588235294117647,0.595508820665697,0
"8560","Site",23,393,0.0585241730279898,1.25816415869741,0
"18777","Site",18,309,0.058252427184466,1.09766232334041,0
"9232","Site",5,87,0.0574712643678161,0.555030565833227,0
"10608","Site",12,213,0.0563380281690141,0.806243742190724,0
"8197","Site",5,89,0.0561797752808989,0.515544904344751,0
"9522","Site",17,308,0.0551948051948052,0.894041361342493,0
"1927","Site",10,183,0.0546448087431694,0.661154542163182,0
"33671","Site",2,37,0.0540540540540541,0.283772159482855,0
"21380","Site",32,592,0.0540540540540541,1.13508863793142,0
"33620","Site",11,204,0.053921568627451,0.659204095128673,0
"1881","Site",16,306,0.0522875816993464,0.699842931607363,0
"25127","Site",9,173,0.0520231213872832,0.513130680150892,0
"28689","Site",21,407,0.0515970515970516,0.754717605674501,0
"25858","Site",7,136,0.0514705882352941,0.430723986704304,0
"12432","Site",15,294,0.0510204081632653,0.604256369979379,0
"25348","Site",11,216,0.0509259259259259,0.512710882811747,0
"9072","Site",4,80,0.05,0.280874577962911,0
"37702","Site",21,422,0.0497630331753555,0.626784529795901,0
"17187","Site",36,725,0.0496551724137931,0.810620258792841,0
"35155","Site",6,121,0.0495867768595041,0.32833255547541,0
"32913","Site",10,208,0.0480769230769231,0.348572785244686,0
"38272","Site",19,403,0.0471464019851117,0.414928586754784,0
"26725","Site",3,64,0.046875,0.157185600238594,0
"34071","Site",20,428,0.0467289719626168,0.395121587510751,0
"18537","Site",7,150,0.0466666666666667,0.231042786635098,0
"30336","Site",11,237,0.0464135021097046,0.275756332054871,0
"14601","Site",15,328,0.0457317073170732,0.277959779717163,0
"22677","Site",18,396,0.0454545454545455,0.284670497366394,0
"31107","Site",13,288,0.0451388888888889,0.222618216822966,0
"5968","Site",12,267,0.0449438202247191,0.202358892866019,0
"12937","Site",11,245,0.0448979591836735,0.191142698994783,0
"34694","Site",17,382,0.0445026178010471,0.209610420702095,0
"33617","Site",16,363,0.0440771349862259,0.173838778655308,0
"17808","Site",22,502,0.0438247011952191,0.183156001867998,0
"576","Site",8,184,0.0434782608695652,0.0932100266303758,0
"34341","Site",20,460,0.0434782608695652,0.147377992458469,0
"2392","Site",12,280,0.0428571428571429,0.0758889087703085,0
"18449","Site",2,47,0.0425531914893617,0.0232539125486193,0
"531","Site",29,689,0.0420899854862119,0.0433001768045591,0
"34355","Site",24,582,0.0412371134020619,-0.0375966351920345,0
"39000","Site",12,291,0.0412371134020619,-0.0265848356940844,0
"1283","Site",3,76,0.0394736842105263,-0.0714116851203004,0
"16470","Site",8,203,0.0394088669950739,-0.120184365738819,0
"8594","Site",23,584,0.0393835616438356,-0.206148210272465,0
"18548","Site",6,153,0.0392156862745098,-0.113326796935958,0
"17541","Site",21,537,0.0391061452513966,-0.221859906475811,0
"257","Site",7,183,0.0382513661202186,-0.173008697459461,0
"37728","Site",20,523,0.0382409177820268,-0.293376801360868,0
"34067","Site",4,105,0.0380952380952381,-0.137067709207353,0
"17717","Site",9,243,0.037037037037037,-0.270565883453007,0
"384","Site",9,246,0.0365853658536585,-0.298877733000363,0
"25171","Site",2,55,0.0363636363636364,-0.147506502476234,0
"26213","Site",7,195,0.0358974358974359,-0.302233111512038,0
"6530","Site",8,228,0.0350877192982456,-0.372796803910608,0
"16424","Site",9,263,0.0342205323193916,-0.453288272091096,0
"1828","Site",5,149,0.0335570469798658,-0.371648353582515,0
"34713","Site",16,477,0.0335429769392034,-0.666120078340672,0
"25449","Site",6,180,0.0333333333333333,-0.419774007888502,0
"4897","Site",4,120,0.0333333333333333,-0.34274404220329,0
