"GroupID","GroupLevel","Numerator","Denominator","Metric"
"4","Site",234,1000,0.234
"257","Site",794,3000,0.264666666666667
"384","Site",1067,4000,0.26675
"391","Site",989,4000,0.24725
"531","Site",2614,10000,0.2614
"576","Site",1052,4000,0.263
"1283","Site",537,2000,0.2685
"1364","Site",768,3000,0.256
"1828","Site",790,3000,0.263333333333333
"1881","Site",1329,5000,0.2658
"1925","Site",813,3000,0.271
"1927","Site",1296,5000,0.2592
"2392","Site",1273,5000,0.2546
"4695","Site",1274,5000,0.2548
"4712","Site",251,1000,0.251
"4897","Site",513,2000,0.2565
"5968","Site",1299,5000,0.2598
"5977","Site",512,2000,0.256
"6230","Site",736,3000,0.245333333333333
"6273","Site",805,3000,0.268333333333333
"6416","Site",1325,5000,0.265
"6530","Site",1541,6000,0.256833333333333
"8197","Site",503,2000,0.2515
"8304","Site",1274,5000,0.2548
"8454","Site",280,1000,0.28
"8545","Site",270,1000,0.27
"8560","Site",1818,7000,0.259714285714286
"8594","Site",2398,9000,0.266444444444444
"8995","Site",1005,4000,0.25125
"9072","Site",254,1000,0.254
"9232","Site",792,3000,0.264
"9522","Site",1568,6000,0.261333333333333
"9560","Site",499,2000,0.2495
"9844","Site",1059,4000,0.26475
"10081","Site",289,1000,0.289
"10325","Site",788,3000,0.262666666666667
"10497","Site",1029,4000,0.25725
"10608","Site",824,3000,0.274666666666667
"12432","Site",2109,8000,0.263625
"12937","Site",1025,4000,0.25625
"12946","Site",522,2000,0.261
"13057","Site",786,3000,0.262
"13112","Site",252,1000,0.252
"13825","Site",246,1000,0.246
"13878","Site",276,1000,0.276
"14408","Site",1531,6000,0.255166666666667
"14601","Site",1527,6000,0.2545
"14707","Site",1017,4000,0.25425
"14729","Site",1509,6000,0.2515
"16424","Site",1541,6000,0.256833333333333
"16470","Site",996,4000,0.249
"16980","Site",258,1000,0.258
"16996","Site",1561,6000,0.260166666666667
"17010","Site",584,2000,0.292
"17187","Site",2335,9000,0.259444444444444
"17208","Site",553,2000,0.2765
"17235","Site",1566,6000,0.261
"17472","Site",1004,4000,0.251
"17541","Site",2789,11000,0.253545454545455
"17542","Site",1047,4000,0.26175
"17717","Site",1581,6000,0.2635
"17729","Site",1498,6000,0.249666666666667
"17799","Site",761,3000,0.253666666666667
"17808","Site",2130,8000,0.26625
"17961","Site",1546,6000,0.257666666666667
"18449","Site",259,1000,0.259
"18496","Site",516,2000,0.258
"18537","Site",1041,4000,0.26025
"18548","Site",1334,5000,0.2668
"18743","Site",493,2000,0.2465
"18777","Site",1811,7000,0.258714285714286
"20531","Site",1780,7000,0.254285714285714
"20757","Site",503,2000,0.2515
"21380","Site",3115,12000,0.259583333333333
"21655","Site",275,1000,0.275
"22022","Site",518,2000,0.259
"22677","Site",1822,7000,0.260285714285714
"25127","Site",795,3000,0.265
"25160","Site",489,2000,0.2445
"25171","Site",250,1000,0.25
"25348","Site",1509,6000,0.2515
"25449","Site",538,2000,0.269
"25605","Site",2110,8000,0.26375
"25858","Site",802,3000,0.267333333333333
"26115","Site",788,3000,0.262666666666667
"26117","Site",1042,4000,0.2605
"26167","Site",243,1000,0.243
"26213","Site",1053,4000,0.26325
"26499","Site",496,2000,0.248
"26665","Site",767,3000,0.255666666666667
"26725","Site",784,3000,0.261333333333333
"26772","Site",523,2000,0.2615
"26880","Site",1890,7000,0.27
"26885","Site",505,2000,0.2525
"28689","Site",1773,7000,0.253285714285714
"29013","Site",1062,4000,0.2655
"29289","Site",259,1000,0.259
"29476","Site",253,1000,0.253
"29972","Site",783,3000,0.261
"30089","Site",267,1000,0.267
"30233","Site",753,3000,0.251
"30336","Site",790,3000,0.263333333333333
"30729","Site",509,2000,0.2545
"30741","Site",813,3000,0.271
"30851","Site",527,2000,0.2635
"30984","Site",252,1000,0.252
"31107","Site",1306,5000,0.2612
"32913","Site",1035,4000,0.25875
"32920","Site",517,2000,0.2585
"33348","Site",548,2000,0.274
"33539","Site",1585,6000,0.264166666666667
"33617","Site",1882,7000,0.268857142857143
"33620","Site",1281,5000,0.2562
"33671","Site",487,2000,0.2435
"34067","Site",1043,4000,0.26075
"34071","Site",1545,6000,0.2575
"34341","Site",2055,8000,0.256875
"34353","Site",519,2000,0.2595
"34355","Site",2883,11000,0.262090909090909
"34643","Site",773,3000,0.257666666666667
"34660","Site",764,3000,0.254666666666667
"34694","Site",1580,6000,0.263333333333333
"34696","Site",2378,9000,0.264222222222222
"34713","Site",2629,10000,0.2629
"35155","Site",761,3000,0.253666666666667
"37186","Site",3649,14000,0.260642857142857
"37702","Site",2058,8000,0.25725
"37728","Site",1541,6000,0.256833333333333
"37892","Site",506,2000,0.253
"37938","Site",514,2000,0.257
"38248","Site",555,2000,0.2775
"38249","Site",541,2000,0.2705
"38272","Site",2589,10000,0.2589
"38711","Site",1522,6000,0.253666666666667
"39000","Site",1323,5000,0.2646
"39025","Site",1276,5000,0.2552
