"GroupLevel","GroupID","MetricID","Numerator","Denominator","Metric","Score","Flag"
"Site","4","Analysis_srs0001",0,178,0,0,NA
"Site","257","Analysis_srs0001",5,178,2.80898876404494,2.80898876404494,NA
"Site","384","Analysis_srs0001",0,178,0,0,NA
"Site","391","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","531","Analysis_srs0001",50,178,28.0898876404494,28.0898876404494,NA
"Site","576","Analysis_srs0001",0,178,0,0,NA
"Site","1283","Analysis_srs0001",0,178,0,0,NA
"Site","1364","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","1828","Analysis_srs0001",0,178,0,0,NA
"Site","1881","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","1925","Analysis_srs0001",0,178,0,0,NA
"Site","1927","Analysis_srs0001",0,178,0,0,NA
"Site","2392","Analysis_srs0001",17,178,9.55056179775281,9.55056179775281,NA
"Site","4695","Analysis_srs0001",0,178,0,0,NA
"Site","4712","Analysis_srs0001",0,178,0,0,NA
"Site","4897","Analysis_srs0001",0,178,0,0,NA
"Site","5968","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","5977","Analysis_srs0001",0,178,0,0,NA
"Site","6230","Analysis_srs0001",0,178,0,0,NA
"Site","6273","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","6416","Analysis_srs0001",0,178,0,0,NA
"Site","6530","Analysis_srs0001",0,178,0,0,NA
"Site","8197","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","8304","Analysis_srs0001",0,178,0,0,NA
"Site","8454","Analysis_srs0001",0,178,0,0,NA
"Site","8545","Analysis_srs0001",0,178,0,0,NA
"Site","8560","Analysis_srs0001",0,178,0,0,NA
"Site","8594","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","8995","Analysis_srs0001",0,178,0,0,NA
"Site","9072","Analysis_srs0001",0,178,0,0,NA
"Site","9232","Analysis_srs0001",0,178,0,0,NA
"Site","9522","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","9560","Analysis_srs0001",0,178,0,0,NA
"Site","9844","Analysis_srs0001",0,178,0,0,NA
"Site","10081","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","10119","Analysis_srs0001",0,178,0,0,NA
"Site","10325","Analysis_srs0001",0,178,0,0,NA
"Site","10497","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","10608","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","12432","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
"Site","12937","Analysis_srs0001",0,178,0,0,NA
"Site","12946","Analysis_srs0001",0,178,0,0,NA
"Site","13057","Analysis_srs0001",20,178,11.2359550561798,11.2359550561798,NA
"Site","13112","Analysis_srs0001",0,178,0,0,NA
"Site","13825","Analysis_srs0001",13,178,7.30337078651685,7.30337078651685,NA
"Site","13878","Analysis_srs0001",0,178,0,0,NA
"Site","14408","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","14601","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","14707","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","14729","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","16424","Analysis_srs0001",0,178,0,0,NA
"Site","16470","Analysis_srs0001",0,178,0,0,NA
"Site","16980","Analysis_srs0001",0,178,0,0,NA
"Site","16996","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","17010","Analysis_srs0001",2,178,1.12359550561798,1.12359550561798,NA
"Site","17187","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","17208","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","17235","Analysis_srs0001",0,178,0,0,NA
"Site","17472","Analysis_srs0001",0,178,0,0,NA
