"GroupID","Param","Value","GroupLevel"
"AA-AA-000-0000","studyid","AA-AA-000-0000","Study"
"AA-AA-000-0000","nickname","OAK-38","Study"
"AA-AA-000-0000","protocol_title","Protocol Title P","Study"
"AA-AA-000-0000","status","Active","Study"
"AA-AA-000-0000","num_plan_site","150","Study"
"AA-AA-000-0000","num_plan_subj","1000","Study"
"AA-AA-000-0000","act_fpfv","2012-01-02","Study"
"AA-AA-000-0000","est_fpfv","2012-01-07","Study"
"AA-AA-000-0000","est_lplv","2012-07-24","Study"
"AA-AA-000-0000","est_lpfv","2012-03-26","Study"
"AA-AA-000-0000","therapeutic_area","Virology","Study"
"AA-AA-000-0000","protocol_indication","Hematology","Study"
"AA-AA-000-0000","phase","P2","Study"
"AA-AA-000-0000","product","Product Name 14","Study"
"AA-AA-000-0000","SiteTarget","150","Study"
"AA-AA-000-0000","ParticipantTarget","1000","Study"
"AA-AA-000-0000","ParticipantCount","764","Study"
"AA-AA-000-0000","SiteCount","145","Study"
"AA-AA-000-0000","PercentSitesActivated","96.7","Study"
"AA-AA-000-0000","SiteActivation","145 / 150 (96.7%)","Study"
"AA-AA-000-0000","PercentParticipantsEnrolled","76.4","Study"
"AA-AA-000-0000","ParticipantEnrollment","764 / 1000 (76.4%)","Study"
"37728","studyid","AA-AA-000-0000","Site"
"37728","invid","37728","Site"
"37728","InvestigatorFirstName","Fred","Site"
"37728","InvestigatorLastName","Smith","Site"
"37728","site_status","Active","Site"
"37728","site_active_dt","2012-01-01","Site"
"37728","City","Kumamoto","Site"
"37728","State","Kumamoto Prefecture","Site"
"37728","Country","Japan","Site"
"2392","studyid","AA-AA-000-0000","Site"
"2392","invid","2392","Site"
"2392","InvestigatorFirstName","Fred","Site"
"2392","InvestigatorLastName","Deer","Site"
"2392","site_status","Active","Site"
"2392","site_active_dt","2012-01-01","Site"
"2392","City","Milton Keynes","Site"
"2392","State","Buckinghamshire","Site"
"2392","Country","UK","Site"
"8560","studyid","AA-AA-000-0000","Site"
"8560","invid","8560","Site"
"8560","InvestigatorFirstName","John","Site"
"8560","InvestigatorLastName","Deer","Site"
"8560","site_status","Active","Site"
"8560","site_active_dt","2012-01-01","Site"
"8560","City","Tokyo","Site"
"8560","State","Kanto","Site"
"8560","Country","Japan","Site"
"22677","studyid","AA-AA-000-0000","Site"
"22677","invid","22677","Site"
"22677","InvestigatorFirstName","Joanne","Site"
"22677","InvestigatorLastName","Deer","Site"
"22677","site_status","Active","Site"
"22677","site_active_dt","2012-01-01","Site"
"22677","City","Kumamoto","Site"
"22677","State","Kumamoto Prefecture","Site"
"22677","Country","Japan","Site"
"4695","studyid","AA-AA-000-0000","Site"
"4695","invid","4695","Site"
"4695","InvestigatorFirstName","Joanne","Site"
"4695","InvestigatorLastName","Doe","Site"
"4695","site_status","Active","Site"
"4695","site_active_dt","2012-01-01","Site"
"4695","City","Tokyo","Site"
"4695","State","Kanto","Site"
"4695","Country","Japan","Site"
"34713","studyid","AA-AA-000-0000","Site"
"34713","invid","34713","Site"
"34713","InvestigatorFirstName","John","Site"
"34713","InvestigatorLastName","Doe","Site"
"34713","site_status","Active","Site"
"34713","site_active_dt","2012-01-01","Site"
"34713","City","Milton Keynes","Site"
"34713","State","Buckinghamshire","Site"
"34713","Country","UK","Site"
"17808","studyid","AA-AA-000-0000","Site"
"17808","invid","17808","Site"
"17808","InvestigatorFirstName","John","Site"
"17808","InvestigatorLastName","Smith","Site"
"17808","site_status","Active","Site"
"17808","site_active_dt","2012-01-01","Site"
"17808","City","Newtown Square","Site"
"17808","State","PA","Site"
"17808","Country","US","Site"
"17961","studyid","AA-AA-000-0000","Site"
"17961","invid","17961","Site"
"17961","InvestigatorFirstName","John","Site"
"17961","InvestigatorLastName","Doe","Site"
"17961","site_status","Active","Site"
"17961","site_active_dt","2012-01-01","Site"
"17961","City","Tokyo","Site"
"17961","State","Kanto","Site"
"17961","Country","Japan","Site"
"37702","studyid","AA-AA-000-0000","Site"
"37702","invid","37702","Site"
"37702","InvestigatorFirstName","John","Site"
"37702","InvestigatorLastName","Doe","Site"
"37702","site_status","Active","Site"
"37702","site_active_dt","2012-01-01","Site"
"37702","City","London","Site"
"37702","State","Greater London","Site"
"37702","Country","UK","Site"
"10497","studyid","AA-AA-000-0000","Site"
"10497","invid","10497","Site"
"10497","InvestigatorFirstName","Joanne","Site"
"10497","InvestigatorLastName","Doe","Site"
"10497","site_status","Active","Site"
"10497","site_active_dt","2012-01-01","Site"
"10497","City","Foster City","Site"
"10497","State","CA","Site"
"10497","Country","US","Site"
"38711","studyid","AA-AA-000-0000","Site"
"38711","invid","38711","Site"
"38711","InvestigatorFirstName","Joanne","Site"
"38711","InvestigatorLastName","Doe","Site"
"38711","site_status","Active","Site"
"38711","site_active_dt","2012-01-01","Site"
"38711","City","Kumamoto","Site"
"38711","State","Kumamoto Prefecture","Site"
"38711","Country","Japan","Site"
"37186","studyid","AA-AA-000-0000","Site"
"37186","invid","37186","Site"
"37186","InvestigatorFirstName","Joanne","Site"
"37186","InvestigatorLastName","Smith","Site"
"37186","site_status","Active","Site"
"37186","site_active_dt","2012-01-01","Site"
"37186","City","Kumamoto","Site"
"37186","State","Kumamoto Prefecture","Site"
"37186","Country","Japan","Site"
"14729","studyid","AA-AA-000-0000","Site"
"14729","invid","14729","Site"
"14729","InvestigatorFirstName","Fred","Site"
"14729","InvestigatorLastName","Smith","Site"
"14729","site_status","Active","Site"
"14729","site_active_dt","2012-01-01","Site"
"14729","City","Newtown Square","Site"
"14729","State","PA","Site"
"14729","Country","US","Site"
"38272","studyid","AA-AA-000-0000","Site"
"38272","invid","38272","Site"
"38272","InvestigatorFirstName","Joanne","Site"
"38272","InvestigatorLastName","Deer","Site"
"38272","site_status","Active","Site"
"38272","site_active_dt","2012-01-01","Site"
"38272","City","London","Site"
"38272","State","Greater London","Site"
"38272","Country","UK","Site"
"39000","studyid","AA-AA-000-0000","Site"
"39000","invid","39000","Site"
"39000","InvestigatorFirstName","Joanne","Site"
"39000","InvestigatorLastName","Doe","Site"
"39000","site_status","Active","Site"
"39000","site_active_dt","2012-01-01","Site"
"39000","City","Milton Keynes","Site"
"39000","State","Buckinghamshire","Site"
"39000","Country","UK","Site"
"34694","studyid","AA-AA-000-0000","Site"
"34694","invid","34694","Site"
"34694","InvestigatorFirstName","Fred","Site"
"34694","InvestigatorLastName","Deer","Site"
"34694","site_status","Active","Site"
"34694","site_active_dt","2012-01-01","Site"
"34694","City","Foster City","Site"
"34694","State","CA","Site"
"34694","Country","US","Site"
"34341","studyid","AA-AA-000-0000","Site"
"34341","invid","34341","Site"
"34341","InvestigatorFirstName","Fred","Site"
"34341","InvestigatorLastName","Deer","Site"
"34341","site_status","Active","Site"
"34341","site_active_dt","2012-01-01","Site"
"34341","City","Newtown Square","Site"
"34341","State","PA","Site"
"34341","Country","US","Site"
"26880","studyid","AA-AA-000-0000","Site"
"26880","invid","26880","Site"
"26880","InvestigatorFirstName","Fred","Site"
"26880","InvestigatorLastName","Deer","Site"
"26880","site_status","Active","Site"
"26880","site_active_dt","2012-01-01","Site"
"26880","City","Tokyo","Site"
"26880","State","Kanto","Site"
"26880","Country","Japan","Site"
"1881","studyid","AA-AA-000-0000","Site"
"1881","invid","1881","Site"
"1881","InvestigatorFirstName","John","Site"
"1881","InvestigatorLastName","Smith","Site"
"1881","site_status","Active","Site"
"1881","site_active_dt","2012-01-01","Site"
"1881","City","Foster City","Site"
"1881","State","CA","Site"
"1881","Country","US","Site"
"12937","studyid","AA-AA-000-0000","Site"
"12937","invid","12937","Site"
"12937","InvestigatorFirstName","Joanne","Site"
"12937","InvestigatorLastName","Deer","Site"
"12937","site_status","Active","Site"
"12937","site_active_dt","2012-01-01","Site"
"12937","City","Foster City","Site"
"12937","State","CA","Site"
"12937","Country","US","Site"
"5968","studyid","AA-AA-000-0000","Site"
"5968","invid","5968","Site"
"5968","InvestigatorFirstName","Joanne","Site"
"5968","InvestigatorLastName","Smith","Site"
"5968","site_status","Active","Site"
"5968","site_active_dt","2012-01-01","Site"
"5968","City","Newtown Square","Site"
"5968","State","PA","Site"
"5968","Country","US","Site"
"14601","studyid","AA-AA-000-0000","Site"
"14601","invid","14601","Site"
"14601","InvestigatorFirstName","Fred","Site"
"14601","InvestigatorLastName","Smith","Site"
"14601","site_status","Active","Site"
"14601","site_active_dt","2012-01-01","Site"
"14601","City","Kumamoto","Site"
"14601","State","Kumamoto Prefecture","Site"
"14601","Country","Japan","Site"
"8995","studyid","AA-AA-000-0000","Site"
"8995","invid","8995","Site"
"8995","InvestigatorFirstName","Fred","Site"
"8995","InvestigatorLastName","Smith","Site"
"8995","site_status","Active","Site"
"8995","site_active_dt","2012-01-01","Site"
"8995","City","Tokyo","Site"
"8995","State","Kanto","Site"
"8995","Country","Japan","Site"
"16996","studyid","AA-AA-000-0000","Site"
"16996","invid","16996","Site"
"16996","InvestigatorFirstName","Fred","Site"
"16996","InvestigatorLastName","Deer","Site"
"16996","site_status","Active","Site"
"16996","site_active_dt","2012-01-01","Site"
"16996","City","Newtown Square","Site"
"16996","State","PA","Site"
"16996","Country","US","Site"
"6530","studyid","AA-AA-000-0000","Site"
"6530","invid","6530","Site"
"6530","InvestigatorFirstName","Fred","Site"
"6530","InvestigatorLastName","Smith","Site"
"6530","site_status","Active","Site"
"6530","site_active_dt","2012-01-01","Site"
"6530","City","Newtown Square","Site"
"6530","State","PA","Site"
"6530","Country","US","Site"
"34660","studyid","AA-AA-000-0000","Site"
"34660","invid","34660","Site"
"34660","InvestigatorFirstName","John","Site"
"34660","InvestigatorLastName","Smith","Site"
