"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID","SnapshotDate","StudyID"
"Japan","Country",670,8638,0.0775642509840241,-1.04839494417197,-1,"Analysis_cou0001",2026-03-26,"AA-AA-000-0000"
"UK","Country",754,8363,0.0901590338395313,1.35408279866358,0,"Analysis_cou0001",2026-03-26,"AA-AA-000-0000"
"US","Country",846,10345,0.0817786370227163,-0.259476040123296,0,"Analysis_cou0001",2026-03-26,"AA-AA-000-0000"
"Japan","Country",336,8638,0.0388978930307942,-1.37400732949783,-1,"Analysis_cou0002",2026-03-26,"AA-AA-000-0000"
"UK","Country",380,8363,0.0454382398660768,0.988846204438227,0,"Analysis_cou0002",2026-03-26,"AA-AA-000-0000"
"US","Country",451,10345,0.0435959400676655,0.36645196472983,0,"Analysis_cou0002",2026-03-26,"AA-AA-000-0000"
"US","Country",452,10345,0.043692605123248,1.05657745918933,0,"Analysis_cou0003",2026-03-26,"AA-AA-000-0000"
"UK","Country",352,8363,0.0420901590338395,0.204189491225681,0,"Analysis_cou0003",2026-03-26,"AA-AA-000-0000"
"Japan","Country",335,8638,0.038782125492012,-1.35718485270284,0,"Analysis_cou0003",2026-03-26,"AA-AA-000-0000"
"UK","Country",377,8363,0.0450795169197656,1.13626695623873,0,"Analysis_cou0004",2026-03-26,"AA-AA-000-0000"
"US","Country",447,10345,0.0432092798453359,0.163518319708429,0,"Analysis_cou0004",2026-03-26,"AA-AA-000-0000"
"Japan","Country",350,8638,0.0405186385737439,-1.29698078755227,0,"Analysis_cou0004",2026-03-26,"AA-AA-000-0000"
"UK","Country",1080,71562,0.0150918085017188,0.9609014061922,0,"Analysis_cou0005",2026-03-26,"AA-AA-000-0000"
"Japan","Country",1123,75385,0.0148968627711083,0.522032231977256,0,"Analysis_cou0005",2026-03-26,"AA-AA-000-0000"
"US","Country",1258,88854,0.0141580570373872,-1.3431868210918,0,"Analysis_cou0005",2026-03-26,"AA-AA-000-0000"
"UK","Country",21,230,0.091304347826087,0.704133344489089,0,"Analysis_cou0006",2026-03-26,"AA-AA-000-0000"
"US","Country",26,289,0.0899653979238754,0.685200850723829,0,"Analysis_cou0006",2026-03-26,"AA-AA-000-0000"
"Japan","Country",15,245,0.0612244897959184,-1.42642771542969,0,"Analysis_cou0006",2026-03-26,"AA-AA-000-0000"
"Japan","Country",34,245,0.138775510204082,1.34860586335472,0,"Analysis_cou0007",2026-03-26,"AA-AA-000-0000"
"UK","Country",25,230,0.108695652173913,-0.192923679595785,0,"Analysis_cou0007",2026-03-26,"AA-AA-000-0000"
"US","Country",27,289,0.0934256055363322,-1.0695993077674,0,"Analysis_cou0007",2026-03-26,"AA-AA-000-0000"
"US","Country",50102,215000,0.233032558139535,0.766555272390815,0,"Analysis_cou0008",2026-03-26,"AA-AA-000-0000"
"UK","Country",39574,170000,0.232788235294118,0.608427751762578,0,"Analysis_cou0008",2026-03-26,"AA-AA-000-0000"
"Japan","Country",40702,180000,0.226122222222222,-1.42905867103313,0,"Analysis_cou0008",2026-03-26,"AA-AA-000-0000"
"UK","Country",36326,39574,0.917925910951635,1.23579984471973,0,"Analysis_cou0009",2026-03-26,"AA-AA-000-0000"
"US","Country",45915,50102,0.916430481817093,-0.00448350728058926,0,"Analysis_cou0009",2026-03-26,"AA-AA-000-0000"
"Japan","Country",37242,40702,0.914991892290305,-1.21358091693679,0,"Analysis_cou0009",2026-03-26,"AA-AA-000-0000"
"US","Country",10125,200408,0.0505219352520857,0.731458271465657,0,"Analysis_cou0010",2026-03-26,"AA-AA-000-0000"
"Japan","Country",8221,162808,0.0504950616677313,0.613492349417817,0,"Analysis_cou0010",2026-03-26,"AA-AA-000-0000"
"UK","Country",7800,158296,0.0492747763683226,-1.445197541622,0,"Analysis_cou0010",2026-03-26,"AA-AA-000-0000"
"UK","Country",44289,170000,0.260523529411765,1.00202281641976,0,"Analysis_cou0011",2026-03-26,"AA-AA-000-0000"
"Japan","Country",46818,180000,0.2601,0.478850623125586,0,"Analysis_cou0011",2026-03-26,"AA-AA-000-0000"
"US","Country",55642,215000,0.2588,-1.32915475250493,0,"Analysis_cou0011",2026-03-26,"AA-AA-000-0000"
"UK","Country",86,316,0.272151898734177,1.39973158157646,0,"Analysis_cou0012",2026-03-26,"AA-AA-000-0000"
"US","Country",84,373,0.225201072386059,-0.454260688051459,0,"Analysis_cou0012",2026-03-26,"AA-AA-000-0000"
"Japan","Country",66,311,0.212218649517685,-0.913454282834381,0,"Analysis_cou0012",2026-03-26,"AA-AA-000-0000"
"13825","Site",11,51,0.215686274509804,2.73532091755735,1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"29972","Site",18,120,0.15,2.11850517304838,1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"257","Site",25,183,0.136612021857924,2.09331766657411,1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"26115","Site",31,236,0.13135593220339,2.14409531277776,1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"531","Site",46,689,0.0667634252539913,-1.2311493057306,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"38711","Site",26,404,0.0643564356435644,-1.08240735789507,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"17961","Site",24,381,0.062992125984252,-1.12802355198116,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"17541","Site",33,537,0.0614525139664804,-1.44219006765401,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"10608","Site",12,213,0.0563380281690141,-1.12377913179987,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"2392","Site",15,280,0.0535714285714286,-1.42210383133996,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"391","Site",8,151,0.0529801324503311,-1.06531332527209,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"14707","Site",9,173,0.0520231213872832,-1.17661996139973,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
"16996","Site",17,339,0.0501474926253687,-1.74676960134865,-1,"Analysis_kri0001",2026-03-26,"AA-AA-000-0000"
